NOM;envoutil_id;envversion_id;bien_id;application_id;lot_id;Environnement
XOS 3.5 SP5;XOS;3.5 SP5;S64LMWBIGL5;OSMOSE;303;PROD
CFT 2.6.4 SP3;CFT;2.6.4 SP3;S64LMWBIGKV;OSMOSE;303;PROD
XOS 3.5 SP5;XOS;3.5 SP5;S64LMWBIGL6;OSMOSE;303;PROD
CFT 2.6.4 SP3;CFT;2.6.4 SP3;S64LMWBIGKW;OSMOSE;303;PROD
XOS 3.5 SP5;XOS;3.5 SP5;S64LMWBIGLA;OSMOSE;303;MAB
CFT 2.6.4 SP3;CFT;2.6.4 SP3;S64LMWBIGL5;OSMOSE;303;PROD
XOS 3.5 SP10;XOS;3.5 SP10;X64LMWBIJ4Q;OSMOSE;310;Hors-production
CFT 2.6.4 SP3;CFT;2.6.4 SP3;S64LMWBIGL6;OSMOSE;303;PROD
XOS 3.5 SP10;XOS;3.5 SP10;S64LMWBIECL;OSMOSE;310;PERF
CFT 2.6.4 SP3;CFT;2.6.4 SP3;S64LMWBIGLA;OSMOSE;303;MAB
XOS 3.5 SP10;XOS;3.5 SP10;S64LMWBIECM;OSMOSE;310;PERF
CFT 2.6.4 SP3;CFT;2.6.4 SP3;X64LMWBIIX4;OSMOSE;310;REC10 (1B)
CFT 2.6.4 SP3;CFT;2.6.4 SP3;X64LMWBIIX5;OSMOSE;310;REC11 (RDD)
XOS 3.5 SP10;XOS;3.5 SP10;X64LMWBIIX4;OSMOSE;310;REC10 (1B)
XOS 3.5 SP10;XOS;3.5 SP10;X64LMWBIIX5;OSMOSE;310;REC11 (RDD)
JBoss 7.1;JBoss;7.1;S64LMWBIFOQ;OSMOSUITE;303;MAB
JBoss 7.1;JBoss;7.1;S64LMWBIGLA;OSMOSUITE;303;MAB
JBoss 7.1;JBoss;7.1;S64LMWBIECL;OSMOSUITE;310;PERF
JBoss 7.1;JBoss;7.1;S64LMWBIECM;OSMOSUITE;310;PERF
JBoss 7.1;JBoss;7.1;S64LMWBIGKV;OSMOSUITE;303;PROD
JBoss 7.1;JBoss;7.1;S64LMWBIGKW;OSMOSUITE;303;PROD
JBoss 7.1;JBoss;7.1;S64LMWBIGL5;OSMOSUITE;303;PROD
JBoss 7.1;JBoss;7.1;S64LMWBIGL6;OSMOSUITE;303;PROD
JBoss 7.1;JBoss;7.1;S64LMWBIFOQ;PANAM;303;MAB
JBoss 7.1;JBoss;7.1;S64LMWBIGLA;PANAM;303;MAB
JBoss 7.1;JBoss;7.1;S64LMWBIECL;PANAM;310;PERF
JBoss 7.1;JBoss;7.1;S64LMWBIECM;PANAM;310;PERF
JBoss 7.1;JBoss;7.1;S64LMWBIGKV;PANAM;303;PROD
JBoss 7.1;JBoss;7.1;S64LMWBIGKW;PANAM;303;PROD
JBoss 7.1;JBoss;7.1;S64LMWBIGL5;PANAM;303;PROD
JBoss 7.1;JBoss;7.1;S64LMWBIGL6;PANAM;303;PROD
XOS 3.5 SP10;XOS;3.5 SP10;X64LMWBIJKE;OSMOSE;310;QUALIF N-Briques
