application_id;composant_id;Commentaire;perimetre_id;type_id;ENVIRONNEMENT;phase_id;USAGE;NOMUSAGE;lot_id;etat_id;DATELIVRAISON;volumetrie_id;Puissance;architecture_id;CONNECT;PVU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;SSIS;;GROUPEMENT;Développement;S64LMWBIAOY ;Global ;DEV303;DEV303;303;Livré;26/09/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PANAM;JVIEWS/CPLEX;;GROUPEMENT;Développement;DEV1;;DEV3031;DEV303;303;Livré;26/09/2012;STANDARD;RECETTE;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PANAM;JVIEWS/CPLEX;;GROUPEMENT;Développement;DEV2;;DEV3031;DEV303;303;Livré;26/09/2012;STANDARD;RECETTE;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PANAM;MC;Utilisé par ETV;DSI-T;Laboratoire;TEST-MC;;TEST-MC;TEST-MC;303;Livré;26/09/2012;STANDARD;RECETTE;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;besoin urgent;GROUPEMENT;Développement;DEV2;MCO 303;DEV2;#NOM?;303;Livré;26/09/2012;ISO PROD;DEV-PF1;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;besoin urgent;GROUPEMENT;Développement;DEV10;MCO 303;DLIVR;#NOM?;303;Livré;01/10/2012;ISO PROD;DEV-PF1;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;besoin urgent;GROUPEMENT;Développement;DEV11;MCO 303;DREF;#NOM?;303;Livré;01/10/2012;ISO PROD;DEV-PF1;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;besoin urgent;GROUPEMENT;Développement;DEV16;MCO 303;REF;#NOM?;303;Livré;09/10/2012;STANDARD;DEV-PF1;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORCHESTRAL;WPS/WTX;Dev/qualif des dév 303.1;GROUPEMENT;Développement;D-DEV2;;DEV3031;DEV3031;303;Désactivé;09/10/2012;ISO PROD;DEV-PF1;SIMPLIFIE;0;#NOM?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;besoin urgent;GROUPEMENT;Développement;DEV8;MCO 303;DEV3031;#NOM?;303;Livré;09/10/2012;ISO PROD;DEV-PF1;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
